,date,irad_amt,av_temp,prcp_amt,PET,amount,remaining
14002,2019-11-02,52.512836,9.125893,0.19419192,4.826852566778682,2.0,-4.632660646778683
14003,2019-11-03,34.232693,10.672408,0.083763786,3.4910771189142635,4.0,-3.4073133329142635
14004,2019-11-03,34.232693,10.672408,0.083763786,3.4910771189142635,4.0,-3.4073133329142635
14005,2019-11-03,34.232693,10.672408,0.083763786,3.4910771189142635,4.0,-3.4073133329142635
14006,2019-11-03,34.232693,10.672408,0.083763786,3.4910771189142635,4.0,-3.4073133329142635
14007,2019-11-03,34.232693,10.672408,0.083763786,3.4910771189142635,4.0,-3.4073133329142635
14009,2019-11-05,38.020866,10.2959,0.07994866,3.784248856385996,3.0,-3.7043001963859963
14011,2019-11-07,42.584976,5.798351,0.33836615,2.992240487861635,3.0,-2.6538743378616347
14013,2019-11-09,43.39835,4.7894425,0.6821441,2.764482378447912,3.0,-2.082338278447912
14014,2019-11-10,6.06996,8.474145,8.656935,0.5321936568466945,2.0,8.124741343153307
14019,2019-11-15,23.611122,9.355966,12.072654,2.2056250953530196,4.0,9.86702890464698
14020,2019-11-15,23.611122,9.355966,12.072654,2.2056250953530196,3.0,9.86702890464698
14021,2019-11-16,31.281944,8.617363,6.724934,2.7718479099015614,3.0,3.953086090098439
14022,2019-11-16,31.281944,8.617363,6.724934,2.7718479099015614,4.0,3.953086090098439
14023,2019-11-17,27.923016,6.7493296,0.59634215,2.134804258264404,2.0,-1.538462108264404
14045,2019-12-09,2.003831,9.440679,42.86102,0.18829177668694036,4.0,42.672728223313065
14061,2019-12-25,10.431582,2.8769894,0.5213993,0.5346789487196174,4.0,-0.013279648719617398
14062,2019-12-25,10.431582,2.8769894,0.5213993,0.5346789487196174,4.0,-0.013279648719617398
14066,2019-12-29,11.435558,2.1607716,0.7337098,0.5328436944075534,4.0,0.20086610559244655
14067,2019-12-29,11.435558,2.1607716,0.7337098,0.5328436944075534,4.0,0.20086610559244655
14068,2019-12-29,11.435558,2.1607716,0.7337098,0.5328436944075534,4.0,0.20086610559244655
14069,2019-12-30,9.082322,2.8900611,0.12688117,0.4662940884296864,3.0,-0.3394129184296864
14070,2019-12-30,9.082322,2.8900611,0.12688117,0.4662940884296864,3.0,-0.3394129184296864
14071,2020-01-01,19.391773,1.2203127,0.015779149,0.784896485342381,3.0,-0.769117336342381
14073,2020-01-03,12.817762,1.593921,1.7166876,0.5499694822019912,2.0,1.1667181177980088
14079,2020-01-09,26.417822,-0.76243365,0.004005533,0.7284439975760653,3.0,-0.7244384645760653
14080,2020-01-10,23.795076,2.2579014,2.825158,1.1237787312175067,3.0,1.7013792687824933
14081,2020-01-11,4.4681854,6.1621523,20.043438,0.32453517659706155,5.0,19.718902823402935
14082,2020-01-12,11.524657,8.532046,8.592459,1.0147851942882742,4.0,7.577673805711726
14083,2020-01-12,11.524657,8.532046,8.592459,1.0147851942882742,4.0,7.577673805711726
14089,2020-01-18,10.738024,6.1810074,5.8789673,0.7812462636997501,3.0,5.09772103630025
14092,2020-01-21,10.945849,7.013977,8.375578,0.8556948082474819,3.0,7.519883191752519
14093,2020-01-21,10.945849,7.013977,8.375578,0.8556948082474819,3.0,7.519883191752519
14106,2020-02-04,22.241907,8.423822,2.680745,1.9428123406334852,5.0,0.7379326593665148
14115,2020-02-13,43.86706,5.3118362,0.27222723,2.9434535222252216,5.0,-2.6712262922252217
14116,2020-02-14,18.57517,8.796514,4.6213098,1.6675728328824833,5.0,2.9537369671175164
14117,2020-02-15,30.676693,8.4394655,3.4561443,2.682706645156114,5.0,0.7734376548438862
14132,2020-03-01,67.43819,1.5222093,1.2313588,2.8620899921471046,5.0,-1.6307311921471046
14133,2020-03-02,53.99438,1.5020165,0.47877255,2.2844374652997788,4.0,-1.8056649152997788
14139,2020-03-08,108.02865,-0.6598176,0.012430491,3.050911279449245,4.0,-3.038480788449245
14142,2020-03-11,31.180113,7.476058,29.909044,2.53126560537841,4.0,27.377778394621593
14144,2020-03-13,73.53606,8.391273,3.9303617,6.4077398152289184,4.0,-2.4773781152289183
14148,2020-03-17,98.76297,4.270967,0.37289318,5.9580181916449115,1.0,-5.585125011644911
14160,2020-03-29,32.83504,1.6570628,12.068723,1.422338126760229,2.0,10.646384873239771
14176,2020-04-15,104.19438,6.507642,2.63899,7.802131854840968,1.0,-5.163141854840967
14212,2020-05-21,69.389114,6.7699842,13.8098545,5.314346534565323,1.0,8.495507965434676
